-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::empty         1.66%     485.399ms         1.69%     491.527ms       9.732us     518.846ms         1.62%     518.846ms      10.273us      10.15 Mb      10.15 Mb     322.27 Gb     322.27 Gb         50506  
                                              aten::mul         2.22%     648.933ms         2.87%     836.420ms      17.702us        1.853s         5.78%        1.853s      39.215us       6.47 Kb       6.47 Kb     317.48 Gb     317.48 Gb         47250  
                                    aten::empty_strided         0.72%     211.125ms         0.75%     220.148ms       6.453us     221.721ms         0.69%     221.721ms       6.499us       3.59 Gb       3.59 Gb     293.08 Gb     293.08 Gb         34116  
                                               aten::mm         2.52%     736.088ms         3.55%        1.035s      31.809us        4.218s        13.16%        4.218s     129.620us           0 b           0 b     246.24 Gb     246.24 Gb         32544  
                                     aten::_log_softmax         0.01%       2.825ms         0.08%      22.404ms     155.583us     907.859ms         2.83%     907.859ms       6.305ms           0 b           0 b     121.72 Gb     121.72 Gb           144  
                                              aten::pow         1.34%     390.995ms         1.71%     497.627ms      52.360us     404.700ms         1.26%     577.662ms      60.781us           0 b           0 b      77.87 Gb      77.87 Gb          9504  
                                              aten::add         0.73%     213.593ms         0.98%     285.418ms      17.444us     465.307ms         1.45%     465.307ms      28.438us           0 b           0 b      60.50 Gb      60.50 Gb         16362  
                                aten::nll_loss_backward         0.02%       4.662ms         0.04%      10.337ms     143.569us       4.230ms         0.01%     102.742ms       1.427ms           0 b           0 b      52.76 Gb      52.76 Gb            72  
                       aten::_log_softmax_backward_data         0.01%       2.249ms         0.01%       3.183ms      44.208us     386.095ms         1.20%     386.095ms       5.362ms           0 b           0 b      52.76 Gb      52.76 Gb            72  
